epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,5109.3,0.71315,1.14958,0.63922,1.08877,0.77233,0.75967,0.83633,0.65049,0.80367,0.71042,0.82682,0.59023,0.77994,1.30399,0.72661,1.18652,0.0008516,0.0008516,0.0008516
31,5319.54,0.68862,1.11293,0.62015,1.06813,0.78407,0.74304,0.8383,0.66157,0.84157,0.70413,0.83645,0.60743,0.75848,1.27627,0.71306,1.16397,0.000812,0.000812,0.000812
32,5530.34,0.69062,1.10926,0.62271,1.07314,0.80806,0.75161,0.84528,0.66692,0.82401,0.73102,0.83457,0.60066,0.78538,1.3963,0.69571,1.20796,0.0007724,0.0007724,0.0007724
33,5734.56,0.685,1.10678,0.60608,1.06742,0.80819,0.75377,0.83256,0.65296,0.84697,0.7408,0.83185,0.60306,0.7962,1.35166,0.70495,1.22204,0.0007328,0.0007328,0.0007328
34,5889.13,0.66742,1.09755,0.61698,1.05245,0.83302,0.74775,0.84832,0.66446,0.84003,0.73745,0.84601,0.60423,0.78128,1.32106,0.70316,1.20439,0.0006932,0.0006932,0.0006932
35,6044.77,0.66857,1.07992,0.59725,1.05981,0.80566,0.78764,0.85585,0.6707,0.80846,0.78769,0.85284,0.61619,0.75337,1.28464,0.68112,1.18419,0.0006536,0.0006536,0.0006536
36,6200.74,0.66168,1.08275,0.59126,1.05582,0.79509,0.75907,0.8424,0.6584,0.78817,0.75183,0.83167,0.59832,0.77097,1.26781,0.68567,1.19126,0.000614,0.000614,0.000614
37,6354.85,0.6515,1.05693,0.58316,1.04554,0.83529,0.73488,0.84446,0.66422,0.84425,0.71855,0.83515,0.60162,0.75147,1.31999,0.69935,1.18959,0.0005744,0.0005744,0.0005744
38,6508.56,0.64605,1.05482,0.57545,1.04019,0.81951,0.77091,0.84047,0.66827,0.80977,0.76062,0.82604,0.60339,0.76561,1.30413,0.70752,1.18648,0.0005348,0.0005348,0.0005348
39,6662.25,0.63885,1.0331,0.57138,1.03839,0.79992,0.75639,0.843,0.67022,0.79992,0.75639,0.84177,0.61863,0.75243,1.31002,0.68348,1.17601,0.0004952,0.0004952,0.0004952
40,6816.61,0.63598,1.04246,0.56478,1.04168,0.8231,0.76448,0.85302,0.67758,0.82584,0.75804,0.84847,0.62162,0.73931,1.26584,0.66345,1.18497,0.0004556,0.0004556,0.0004556
41,6964.7,0.58572,0.99434,0.52733,1.01474,0.81947,0.77477,0.84672,0.67877,0.8183,0.76834,0.83635,0.61596,0.73473,1.2643,0.68173,1.1764,0.000416,0.000416,0.000416
42,7112.65,0.57452,0.97954,0.52507,1.00527,0.82516,0.77349,0.85511,0.67877,0.80674,0.77899,0.85558,0.62858,0.75056,1.26213,0.66909,1.18601,0.0003764,0.0003764,0.0003764
43,7260.11,0.56173,0.96088,0.51095,1.00385,0.79896,0.75699,0.84152,0.66716,0.79526,0.74984,0.83761,0.60529,0.74118,1.307,0.67876,1.19777,0.0003368,0.0003368,0.0003368
44,7406.92,0.55842,0.96604,0.50005,0.99028,0.79414,0.78764,0.84811,0.66845,0.80593,0.76964,0.84223,0.60732,0.75181,1.31287,0.69071,1.20082,0.0002972,0.0002972,0.0002972
45,7553.83,0.54347,0.92973,0.48305,0.98517,0.82344,0.77735,0.84711,0.67628,0.81932,0.77034,0.8402,0.61165,0.74927,1.31162,0.69328,1.19722,0.0002576,0.0002576,0.0002576
46,7701.43,0.5442,0.9439,0.48365,0.98848,0.82914,0.76577,0.84343,0.67604,0.82695,0.76319,0.84234,0.61573,0.74674,1.30583,0.67285,1.21072,0.000218,0.000218,0.000218
47,7848.31,0.53198,0.92123,0.48146,0.98275,0.82457,0.77992,0.84949,0.68978,0.82133,0.76834,0.84283,0.62437,0.72423,1.2989,0.66416,1.18083,0.0001784,0.0001784,0.0001784
48,7995.31,0.52724,0.91675,0.46603,0.97829,0.83283,0.75658,0.84903,0.67787,0.82706,0.75087,0.84398,0.61441,0.73892,1.30044,0.6762,1.19231,0.0001388,0.0001388,0.0001388
49,8142.29,0.52204,0.91493,0.4568,0.97523,0.81403,0.78304,0.8513,0.68639,0.83834,0.7529,0.84566,0.62327,0.73256,1.29729,0.64988,1.18722,9.92e-05,9.92e-05,9.92e-05
50,8288.95,0.50285,0.88105,0.44583,0.96013,0.81826,0.78121,0.8501,0.68318,0.82046,0.76448,0.8468,0.62076,0.73466,1.31618,0.65957,1.19171,5.96e-05,5.96e-05,5.96e-05
