epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,4651.34,0.78169,1.27571,0.59648,1.15879,0.83513,0.83019,0.88698,0.68206,0.81736,0.82438,0.87369,0.62679,0.85745,1.485,0.66171,1.24382,0.0008516,0.0008516,0.0008516
31,4806.07,0.75095,1.23627,0.5803,1.13398,0.87532,0.79476,0.87714,0.66942,0.86112,0.80095,0.87803,0.61682,0.87488,1.52747,0.6785,1.26468,0.000812,0.000812,0.000812
32,4960.6,0.75129,1.23993,0.56555,1.13706,0.85177,0.81277,0.87741,0.6686,0.84956,0.79506,0.87027,0.61321,0.86154,1.52658,0.71559,1.26637,0.0007724,0.0007724,0.0007724
33,5115.09,0.7694,1.2576,0.58574,1.14324,0.8631,0.80523,0.89168,0.66171,0.86654,0.80552,0.88632,0.61462,0.89214,1.5232,0.65195,1.27681,0.0007328,0.0007328,0.0007328
34,5269.77,0.73365,1.22269,0.56343,1.12036,0.84723,0.82148,0.89469,0.68652,0.87402,0.7881,0.88732,0.62371,0.86812,1.49576,0.63173,1.25865,0.0006932,0.0006932,0.0006932
35,5424.62,0.72724,1.19413,0.54887,1.11806,0.87667,0.81132,0.89774,0.69585,0.82558,0.83812,0.8964,0.64702,0.8405,1.48971,0.61769,1.23279,0.0006536,0.0006536,0.0006536
36,5580.01,0.72423,1.20186,0.5587,1.11299,0.85075,0.80552,0.88612,0.68119,0.81086,0.83745,0.88145,0.63413,0.87371,1.49353,0.63684,1.26903,0.000614,0.000614,0.000614
37,5735,0.71272,1.17592,0.54104,1.10758,0.86364,0.79971,0.88904,0.68755,0.85071,0.791,0.88165,0.63765,0.84334,1.49608,0.60649,1.23654,0.0005744,0.0005744,0.0005744
38,5889.74,0.71239,1.17164,0.53354,1.10423,0.84834,0.81184,0.8825,0.67106,0.83566,0.79971,0.87485,0.6183,0.88214,1.50556,0.6403,1.31126,0.0005348,0.0005348,0.0005348
39,6044.2,0.70372,1.17183,0.52357,1.10352,0.86916,0.82293,0.89369,0.68213,0.8615,0.81567,0.89259,0.63331,0.85887,1.48664,0.60906,1.25002,0.0004952,0.0004952,0.0004952
40,6198.9,0.69039,1.15812,0.50442,1.09316,0.85433,0.80013,0.88591,0.68439,0.84241,0.79135,0.88177,0.62319,0.83657,1.47954,0.64799,1.25641,0.0004556,0.0004556,0.0004556
41,6347.18,0.6555,1.12444,0.49349,1.07815,0.88217,0.80697,0.89619,0.68366,0.86597,0.80648,0.89317,0.63892,0.85283,1.46312,0.6325,1.23358,0.000416,0.000416,0.000416
42,6494.69,0.63391,1.09505,0.47684,1.06832,0.85515,0.82438,0.89372,0.69553,0.83998,0.82293,0.89116,0.64131,0.84707,1.51739,0.63149,1.27683,0.0003764,0.0003764,0.0003764
43,6642.82,0.61145,1.06449,0.46135,1.04768,0.8654,0.81567,0.89823,0.69533,0.85464,0.83164,0.89857,0.64311,0.84683,1.48538,0.59073,1.26178,0.0003368,0.0003368,0.0003368
44,6790.84,0.61407,1.06131,0.45715,1.04496,0.84526,0.81659,0.89766,0.69418,0.82863,0.82729,0.89437,0.63648,0.83935,1.4775,0.61084,1.24424,0.0002972,0.0002972,0.0002972
45,6938.84,0.59294,1.05124,0.44082,1.0331,0.89411,0.78374,0.89083,0.69236,0.89118,0.78448,0.88384,0.63623,0.8447,1.49341,0.6028,1.26004,0.0002576,0.0002576,0.0002576
46,7086.49,0.58445,1.0356,0.43779,1.02753,0.8491,0.81422,0.88846,0.69359,0.82318,0.81082,0.8795,0.63003,0.8292,1.50075,0.6012,1.248,0.000218,0.000218,0.000218
47,7234.44,0.57653,1.03493,0.42905,1.02503,0.90455,0.78665,0.89507,0.69986,0.84582,0.82012,0.88783,0.64617,0.82521,1.49278,0.58379,1.24993,0.0001784,0.0001784,0.0001784
48,7383.55,0.56865,1.00976,0.42016,1.01999,0.87443,0.79826,0.88957,0.69047,0.8654,0.80248,0.88446,0.6431,0.84916,1.51946,0.60683,1.29306,0.0001388,0.0001388,0.0001388
49,7531.2,0.55807,1.00515,0.40486,1.0141,0.88117,0.80697,0.90063,0.70412,0.85378,0.81858,0.89734,0.65208,0.8342,1.49075,0.5744,1.25835,9.92e-05,9.92e-05,9.92e-05
50,7679.12,0.54876,0.98661,0.39851,1.00461,0.86157,0.822,0.89715,0.7023,0.84558,0.83019,0.89425,0.64939,0.8273,1.48489,0.58368,1.26161,5.96e-05,5.96e-05,5.96e-05
