epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1847.41,0.52629,0.27556,0.9014,0.96324,0.96464,0.97017,0.7183,1.09772,0.38304,1.45698,0.000852026,0.000284009,0.000852026,0.000284009,0.000852026,0.000284009,0.000852026,0.000284009
31,1908.11,0.51947,0.27293,0.90098,0.96576,0.96383,0.96805,0.71966,1.10677,0.38238,1.46831,0.000812406,0.000270802,0.000812406,0.000270802,0.000812406,0.000270802,0.000812406,0.000270802
32,1967.15,0.50936,0.26851,0.89756,0.9732,0.97054,0.9755,0.72077,1.07885,0.3729,1.43264,0.000772786,0.000257595,0.000772786,0.000257595,0.000772786,0.000257595,0.000772786,0.000257595
33,2028.03,0.4995,0.26211,0.89154,0.96863,0.95754,0.97195,0.72627,1.09651,0.38628,1.46775,0.000733166,0.000244389,0.000733166,0.000244389,0.000733166,0.000244389,0.000733166,0.000244389
34,2089.83,0.49457,0.26651,0.89614,0.95853,0.96569,0.97293,0.71645,1.10497,0.38443,1.47632,0.000693547,0.000231182,0.000693547,0.000231182,0.000693547,0.000231182,0.000693547,0.000231182
35,2151.27,0.49108,0.25846,0.89203,0.973,0.96589,0.97532,0.7189,1.11829,0.37863,1.49392,0.000653927,0.000217976,0.000653927,0.000217976,0.000653927,0.000217976,0.000653927,0.000217976
36,2212.35,0.47589,0.2479,0.88177,0.97352,0.95405,0.97184,0.72347,1.10472,0.38632,1.48935,0.000614307,0.000204769,0.000614307,0.000204769,0.000614307,0.000204769,0.000614307,0.000204769
37,2271.1,0.47357,0.25158,0.88481,0.97832,0.95419,0.97475,0.71984,1.09593,0.37191,1.49484,0.000574687,0.000191562,0.000574687,0.000191562,0.000574687,0.000191562,0.000574687,0.000191562
38,2332.96,0.46738,0.24987,0.88564,0.96607,0.96395,0.97072,0.71859,1.09253,0.38346,1.48649,0.000535067,0.000178356,0.000535067,0.000178356,0.000535067,0.000178356,0.000535067,0.000178356
39,2391.84,0.46605,0.24666,0.87907,0.96753,0.95754,0.97217,0.7248,1.09658,0.39544,1.50548,0.000495448,0.000165149,0.000495448,0.000165149,0.000495448,0.000165149,0.000495448,0.000165149
